,post_id,text,uid,len,city,age
0,350901.0,я ползал за 10к?,140825215.0,4,,
1,350901.0,Можно за 4.500,78534512.0,4,,
2,350901.0,можно самому пойти)....,259380129.0,3,134,26
3,350901.0,можно и for free..,3981607.0,4,,
4,350901.0,На первом слайде название поправьте -Эльбурс - это из какой реальности?))),233480486.0,10,99,
5,350901.0,"[id233480486|Alessandra], где-то в Иране :) https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D1%8C%D0%B1%D1%83%D1%80%D1%81",99598426.0,9,314,
6,350901.0,"[id99598426|Лев], далековато))) Или у них там телепортатор -лезут на Эльбрус, а спускаются с Эльбурса)) Или наоборот)",233480486.0,16,99,
7,350901.0,"[id233480486|Alessandra], исправили?",101.0,2,,
8,350901.0,"[club54566161|Бродяги Дхармы], ?",233480486.0,3,99,
9,350901.0,"Вот если бы в августе, эх... Пойду скорее всего в этом году",12294490.0,12,0,
10,350901.0,"[id259380129|Кирилл], но не факт что вернёшься)",323643802.0,6,,
11,350901.0,"Понятно, что здоровье должно соответствовать хорошему для таких восхождений... понятно то же, что и болезней не должно быть там среднего характера, а может и лёгкого даже. Но есть ведь шкала по которой ""мериться"" то, может ли человек совершить попытку взобраться на гору или же наоборот, не взобраться. Чем она определяется?",323643802.0,50,,
12,350901.0,А какое снаряжение входит в стоимость?,204192476.0,6,0,25
13,350901.0,"[id204192476|Александр], в тексте поста сказано, что все подробности на нашем сайте: http://dharmastore.ru/elbrus Там расписан ответ на ваш вопрос",101.0,20,,
14,350901.0,"25 000 рублей и слово ""бродяги"" - это два взаимоисключающих понятия, по-моему. На то ведь он и бродяга, чтобы без денег залезть на этот чёртов Эльбрус. Или я не прав? ?",7894337.0,31,,
15,350901.0,"[id323643802|Равиль], погодой и хорошим снаряжением, тк если замёрзнешь, то уже никуда не залезешь",12294490.0,13,0,
16,350901.0,"[id140825215|Андрей], можно контакты?",12294490.0,3,0,
17,350901.0,"Бродяги, почему у Климбинг Бразерс 22тыс? Палево? вы уж там договоритесь как то",12294490.0,13,0,
18,350901.0,"[id7894337|Александр], разве в этой группе только бродяги? Я уверен, что есть еще и те, кто не достаточно созрел. Не у всех хватает духа быть бродягой, стать бродягой самостоятельно. Это, думаю, и есть целевая аудитория. К тому же есть люди у которых есть мечта, есть деньги, а времени нет. И они ближе по духу к бродягам, а опыта нет. Потому им будет интереснее взять этот тур в этой группе, нежели где-то еще. Пусть даже 99% здесь бродяги, а это значит, что 1928 человек - не бродяги. Я думаю, даже 1% из небродяг нашим бродягам составит вполне себе достойную целевую аудиторию.Да и вообще, здесь больше мечтателей, чем бродяг практиков. Именно они и хотят на Эльбрус.",27634742.0,114,11,30
19,350901.0,"[id27634742|Никита], всё так! Не спорю. Джяст бизнес, как говорится... Вобще в последнее время в  группе начала прослеживаться возрастающая тенденция на такие вот ""а-ля пакетные туры"". Один я это замечаю? Один я скучаю по старым, добрым  Бродягам Дхармы двух-трёх годичной давности, где были реально интересные истории безденежных авантюристов, где были разные бюджетные лайфхаки и прочая полезная инфа...? Что касается Эльбруса, то на мой провинциальный взгляд такая цена - просто дичайшая дичь! Конструктивная критика, не более.Керуак точно в гробу вертится...?",7894337.0,81,,
20,350901.0,"[id7894337|Александр], истории безденежных авантюристов остались в том же количестве, а то и больше стало их. Но стало больше и другого шлака, который выходит за рамки чьих-то ценностей. Но в то же время весь этот шлак говорит о том, что люди начинают путешествовать, люди начинают двигаться. Пусть по-тихоньку, но они в любом случае ближе к нам, чем те, которые следят за горящими турами в Египет и Турцию.Как не крути, а многие, думаю все БДшники ,которые организовывают туры живут в городах, а города требуют денег - закон джунглей. Иначе в гробу перевернется не только Керуак, а наши уважаемые редакторы группы вместе с ним. Я знаю, что это слишком печальный исход событий. Скорее всего они посмотрят на весь этот бред, весь этот негатив и помойку, опечалятся так. Глубоко. И пойдут в горы сами, а группу оставят зарастать плесенью.",27634742.0,137,11,30
21,350901.0,"[id12294490|Аня], ничо, что это у них мартовские цены?)",2126522.0,8,1,26
22,350901.0,"[id7894337|Александр], ну камон: историй не меньше чем было хотя бы потому, что аудитория выросла в несколько десятков раз. И лайвхаков объективно теперь больше. Мы ведь публикуем то, что вы же сами и присылаете. Ты даже себе не представляешь, какую часть айсберга приходится отсеивать, ибо присылают на 60-70% негодный контент. А по поводу туров: тут реальных бродяг минимальный процент, и иначе не могло быть, т.к. они в дороге ,а не в вк. Большая часть аудитории - это те, кому близка эта тема. И они действительно сами хотят такие туры, пишут нам об этом, и с удовольствием присоединяются к походу. Если это так, то какая разница, что я или вы об этом думаете? Это никак не противоречит и не перебивает основной контент паблика, и при этом дает дополнительную ценность тем, кто сам этого хотел. Мы же не сделали тур в Анталию в гостиницу 5 звезд и все включено? У нас реальные походы с определенным уровнем сложности, постоянными перемещениями, и прокачкой походных навыков и умения взаимодействовать в группе. В любом случае челвоек после похода возвращается домой с новыми знаниями и опытом. По-моему все логично. Тем более что мы тоже люди, и должны как-то отбивать по финансам свою уже многогодичную занятость по выкладке контента для вас. ?",101.0,206,,
23,350901.0,"[id2126522|Александр], ничо, потому что цены не мартовские, а апрель - август. Комфорт стоит 22тыс, простое восхождение (видимо не комфорт) 20тыс",12294490.0,19,0,
24,350901.0,"[id7894337|Александр], проанализируйте стоимость конкурентов на восхождения. 25тыс - стандартная цена",12294490.0,9,0,
25,350901.0,"[id323643802|Равиль], так и из дома можно не выходить. Не факт ,что вернешься)))",259380129.0,12,134,26
26,350901.0,"[id12294490|Аня], предлагаю еще раз внимательно почитать, что у них написано в старом посте:)",2126522.0,13,1,26
27,350901.0,"[id2126522|Александр], так цены не мартовские, а ""при предоплате до 8 марта"". Мда уж.. Им пора обновить пост",12294490.0,17,0,
28,350901.0,"Привет, бродяги) Кто-нибудь считал, сколько денег надо на оборудование, снаряжение и еду?",75858.0,13,2,
29,350901.0,Можно с собой собаку взять???,82703030.0,5,,
30,350901.0,"2-й разряд проводника это круто)) правда мне всегда казалось, что за непредсказуемый коллектив, собранный на коммерческой основе должен отвечать как минимум ""снежный барс"" ?.  Особенно удивили занятия на для коммерческих новичков на 3700, аклимуха на 5000 и ""отдых"" на 4100))  На ""бочках"" и то трудно заснуть, забравшись пешком с рюкзаком 15-20кг))  в коммерческом предложении указанна категория - легкий :-)) ) ,  а ночевка на ""приюте"" сразу выкосит половину коллектива даже не из-за физ подкотовки и из-за особого вулканического климата, а из-за нечеловеческих морозов (летом ночью бывает до -20, а иногда до -35 градусов цельсия), обьяснять на такой высоте и при такой температуре принципы безопасности, выживания и работы со снаряжением безполезно, т.к. большинство просто не услышат инструкторов, переложив заранее ответственность на их опытные плечи, считая, что за такие деньги их должны донести до вершины на руках)",10051886.0,137,119,32
31,350901.0,"Прежде, чем отвечать за жизнь смелых и самоуверенных ""бродяг дхармы"" рекомедую организаторам устроить конкурсный отбор по маршруту Софийские озера + Ппзарджик, Панагюриште, затем сводить группу на 3""а"" на Ладзгу, и только после этого принимать ответственность за жизнь и здоровье клиентов при восхождении на Эльбрус. Конечно, маршрут туда лежит вовсе не по скально-снежным ""каминам"", но люди, идущие на коммерческое восхождение, должны понимать, чем рискуют)) ?",10051886.0,66,119,32
32,350901.0,"[id75858|Игорь], около 100 тыс. Руб . если все с нуля покупать",1586177.0,10,2,
33,350901.0,"[id10051886|Олеся], Акклиматизация идет постепенно, а не одним днем на 5000, это все вполне отображено на маршруте, ровно как и акклиматизационные ночевки повышаются постепенно. И конечно же естественно, что людям которые собираются присоединиться объясняют, что их ждет и к чем стоит готовиться.",101.0,41,,
34,350901.0,"[id10051886|Олеся], спасибо за Ваши советы организаторам и подробный, хотя и не слишком профессиональный разбор нашей акклиматизационной программы. ? Не стану спорить, только укажу, что, например, в прошлом сезоне примерно 90% наших клиентов были на вершине. И АБСОЛЮТНО ВСЕ вернулись живыми и здоровыми. ?",5904158.0,43,1,
35,350901.0,Спальник на -5 это предельная t* ?,204192476.0,6,0,25
36,350901.0,"[id12294490|Аня], пошли, идем в июле/августе!)",54803919.0,5,,
37,350901.0,"[id54803919|Дмитрий], с каким клубом?",12294490.0,4,0,
38,350901.0,"[id12294490|Аня], самостоятельно",54803919.0,2,,
39,350901.0,"[id12294490|Аня], клуб весёлых и находчивых, так сказать??",54803919.0,7,,
40,350901.0,"[id204192476|Александр], на Эльбрус и спальник на -5 ,если в таком спальнике там переночевать ,до вершины не дойти как минимум)) Как минимум на -20 комфорт нужно)",27963154.0,25,2,
41,350901.0,"[id27963154|Анастасия], ну зачем вы смущаете умы людей неверной информацией?) -5 комфорт - это отличный показатель спальника для восхождения на Эльбрус. Но именно КОМФОРТ, а не ЛИМИТ или ЭКСТРИМ. ?",5904158.0,28,1,
42,350901.0,"[id204192476|Александр], КОМФОРТ должен быть -5 или ниже.",5904158.0,7,1,
43,350901.0,"[id5904158|Егор], или ниже .Со спальником на -5 комфорт  даже в обычной Карелии в ноябре уже холодно ,когда за окном всего лишь -1 )И я не смущаю народ неверной информацией ,а лишь констатирую факты ,о которых не просто так говорю)",27963154.0,39,2,
44,350901.0,"[id27963154|Анастасия], я не любитель и не мастер сетевых споров. Наша команда с высоты своего опыта ответственно заявляет, что спальник с температурой КОМФОРТА -5, является достаточным для комфортных ночевок на протяжении всего восхождения на Эльбрус в летний сезон. Всё )",5904158.0,38,1,
45,350901.0,"[id5904158|Егор], я даже и не собиралась спорить .Каждый имеет права высказаться и написать то,что считает нужным )Хороших восхождений !",27963154.0,19,2,
46,350901.0,"[id27963154|Анастасия], спасибо. И Вам не мерзнуть ?",5904158.0,7,1,
47,350901.0,"Как возможно связаться с компанией в рамках которой , например 2 человека поедут по странам и их буду снимать, без денег там и т.д. ?",416797838.0,24,,
0,353884.0,А что за группа?),12373457.0,4,20641,
1,353884.0,"[id12373457|Павел], Крематорий",406964133.0,2,,
2,353884.0,"Круто, но ради всего святого верстайте посты %)",14383797.0,8,149,28
3,353884.0,Очень вдохновляюще! Удачи тебе в достижении новых целей?,50484127.0,8,124,
4,353884.0,Очень интересная история. И вдохновляющая),16420571.0,5,95,23
5,353884.0,"Как у человека чьи путешествия заканчивались вместе с финансами, осмелюсь спросить,где Вы работали в Таиланде?!",383156837.0,16,0,26
6,353884.0,Круто! Можно узнать где и кем работали?,1384093.0,7,1,27
0,353877.0,"Вообще для посещения отдельных частей заповедников и нац парков нужен спец пропуск, иначе инспектора выпишут штраф и выдворят с территории. Разведение огня вне оборудованных кострищ запрещено на всех особо охраняемых природных территориях",2179171.0,32,4890,27
1,353877.0,"[id2179171|Дмитрий], 300 р и пропуск в кармане",261768536.0,7,0,
0,353868.0,Tamang Heritage трек,4600686.0,3,0,31
0,353864.0,"Автомобилист не велосипедист, слово не воробей, мясо не рыба))",11921880.0,9,66,
1,353864.0,"[id11921880|Евгений], лол.",395488447.0,2,,
2,353864.0,"блин, про ветер жиза. я ,хоть и не велосипедист, стишок про него когда-то? сочинил. вотъ :Убогий ветер, что неистово срываетс лица всю кожу, мясо до костей,и в каждую конечность проникает,морозит, рвет на части, продувает у фонаря, за домом - да везде!меня достал. Его я ненавижуи вид его, хоть я его не вижу.Только когда он проявляется в хвосте, он предстает потоками снежинок, что прыгают, как тысячи пружинок.И хоть размер их до смешного мал,вонзается, как крохотный кинжал,в мое лицо очередной кристалл.И если бы еще он прорастал, как семя в землях Нарнии, не таял,то лик свой я бы просто не узнал.Но тает он, все плавясь и сгорая,как ведьма на костре, от жара щек.Мороз кристаллизирует упрек,что сохранится льдинкою на время,пока с себя не скину это бремя.Я в дом вхожу, ведь срок давно истек моих мучений. Это злобный рокв мороз и стужу темной магией увлекменя, как ветер - семя.Я радуюсь тому, что жар печименя хранит от холода ночи,а лампы свет хранит от темноты,ведь в темноте кричи или молчи,самим собой никак не станешь ты.Я чуть прилег, я в мягкой шкуре пледа,а в голове - унылая беседас сами собой, как будто это кредо -быть одному.Быть одному, как солнце на закате,как огонек в потушенной лампаде,как вишня в полисадника ограде,как лишний пенни в еле набранной награде,как метеор.Снаружи криков ветра буйный хор.Но в сотни раз сильнее, чем снаружи,где темнота и завыванья стужи,шум в голове, а это много хуже, чем мощный, но прерывистый напорпотоков ветра, без конца что кружит,на хвою сосен насылая мор.",326278830.0,271,0,
3,353864.0,Молодцы ребята) приятно читать: чисто и красиво)),100462567.0,7,64,28
